EIF,MDL,CND,ACE,MDO,PGO,PLC,ADT,SC,JDL
0,3.3,4.22,1.91,2.49,3.33,2.3,1.99,3.79,3.42
3.3,0,1.23,3.22,0.95,1.33,1.33,3.44,0.8,1.6
4.22,1.23,0,4.41,1.88,2.49,2.53,4.67,0.45,1.2
1.91,3.22,4.41,0,2.55,2.48,1.9,0.23,3.97,4.13
2.49,0.95,1.88,2.55,0,1.38,0.75,2.77,1.44,1.71
3.33,1.33,2.49,2.48,1.38,0,1.04,2.68,2.09,2.87
2.3,1.33,2.53,1.9,0.75,1.04,0,2.11,2.09,2.45
1.99,3.44,4.67,0.23,2.77,2.68,2.11,0,4.2,4.36
3.79,0.8,0.45,3.97,1.44,2.09,2.09,4.2,0,1.17
3.42,1.6,1.2,4.13,1.71,2.87,2.45,4.36,1.17,0
